店舗ID,集計開始日,集計終了日,分類ID,分類名称,メニューID,メニュー名称,メニュータイプ,チョイスID,チョイス名称,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,消費税率区分
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214873,フリー,1766502,フードフリー,food,,,295,269,0,0,1,295,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214873,フリー,1766502,フードフリー,food,,,308,280,0,0,1,308,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214873,フリー,1766502,フードフリー,food,,,396,360,0,0,1,396,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214873,フリー,1766503,ドリンクフリー,drink,,,539,490,0,0,2,1078,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214873,フリー,1766503,ドリンクフリー,drink,,,649,590,0,0,4,2596,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214873,フリー,1766503,ドリンクフリー,drink,,,737,670,0,0,1,737,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214873,フリー,1766503,ドリンクフリー,drink,,,614,559,0,0,1,614,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214867,焼き魚,1826722,ギンダラ,food,,,759,690,399,370,70,53130,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,,,1826747,お通し,other,,,319,290,10,10,1725,550275,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214859,つまみ,1831678,ガーリックピーナッツ,food,,,319,290,54,50,15,4785,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214864,煮もの,1832712,ガーリックトースト１枚,food,,,110,100,29,27,114,12540,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214864,煮もの,1834007,豚スジ煮込,food,,,440,400,35,33,90,39600,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214852,ホッピー,1844929,１杯目のホッピーは口頭でご注文ください,drink,,,0,0,0,0,4,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214859,つまみ,1851282,えびせんべい,food,,,418,380,19,18,10,4180,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1858964,白コロ,food,,,253,230,73,68,294,74382,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1858964,白コロ,,611651,塩,0,0,0,0,43,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1858964,白コロ,,611652,タレ,0,0,0,0,67,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214862,串・焼き物,1858964,白コロ,,620184,おまかせ,0,0,0,0,184,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214857,ご飯もの,1858988,アラ汁,food,,,209,190,21,20,79,16511,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214864,煮もの,1858988,アラ汁,food,,,209,190,21,20,60,12540,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214856,サワー,1859004,梅干チュー,drink,,,539,490,135,125,94,50666,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214856,サワー,1859004,梅干チュー,drink,623699,濃いめ,165,150,0,0,1,165,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214870,季節のもの,1863088,ヤリイカ煮,food,,,495,450,0,0,3,1485,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,214860,一品,1863088,ヤリイカ煮,food,,,495,450,0,0,3,1485,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872355,(割)ソーダ,drink,,,220,200,1,1,7,1540,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872358,キンミヤ（ボトル）,drink,,,2530,2300,723,670,46,116380,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872358,キンミヤ（ボトル）,other,599967,0,0,0,0,0,17,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872358,キンミヤ（ボトル）,other,599968,1,0,0,0,0,2,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872358,キンミヤ（ボトル）,other,599969,2,0,0,0,0,6,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872358,キンミヤ（ボトル）,other,599970,3,0,0,0,0,6,0,,10
defb1ba1-bbc9-4096-8c05-9c68251011e7,2026/02/01,2026/02/28,226782,ボトル割材,1872358,キンミヤ（ボトル）,other,599971,4,0,0,0,0,4,0,,10
